scenario_id,episode_key,bc_collision,ppo_eval_panel_count,ppo_observed_panel_count,ppo_collision_panel_count,ppo_collision_panel_rate,ppo_final_run_count,ppo_observed_final_run_count,ppo_final_collision_count,ppo_final_collision_rate,ppo_structural_tail_panel_count,ppo_strict_5deg_tail_panel_count
evaluation-sp17-ego727-raceline2-v0.5,ol2_e727_o745_s0.5,True,92,92,92,1.0,16,16,16,1.0,0,0
evaluation-sp35-ego1497-raceline1-v0.5,ol1_e1497_o1512_s0.5,True,92,92,92,1.0,16,16,16,1.0,0,0
evaluation-sp5-ego213-raceline0-v0.7,ol0_e213_o221_s0.7,True,92,92,79,0.8586956521739131,16,16,12,0.75,79,79
evaluation-sp32-ego1368-raceline1-v0.6,ol1_e1368_o1383_s0.6,True,92,92,67,0.7282608695652174,16,16,10,0.625,0,0
evaluation-sp15-ego641-raceline2-v0.7,ol2_e641_o661_s0.7,True,92,92,66,0.717391304347826,16,16,8,0.5,66,56
evaluation-sp17-ego727-raceline2-v0.7,ol2_e727_o745_s0.7,True,92,92,59,0.6413043478260869,16,16,9,0.5625,18,0
evaluation-sp36-ego1539-raceline1-v0.5,ol1_e1539_o1554_s0.5,False,92,92,55,0.5978260869565217,16,16,12,0.75,19,12
evaluation-sp35-ego1497-raceline1-v0.6,ol1_e1497_o1512_s0.6,True,92,92,51,0.5543478260869565,16,16,7,0.4375,3,0
evaluation-sp21-ego898-raceline0-v0.7,ol0_e898_o902_s0.7,True,92,92,49,0.532608695652174,16,16,8,0.5,40,39
evaluation-sp9-ego384-raceline0-v0.7,ol0_e384_o391_s0.7,True,92,92,49,0.532608695652174,16,16,8,0.5,15,9
evaluation-sp2-ego85-raceline2-v0.8,ol2_e85_o106_s0.8,True,92,92,46,0.5,16,16,4,0.25,27,27
evaluation-sp12-ego513-raceline0-v0.8,ol0_e513_o523_s0.8,True,92,92,45,0.4891304347826087,16,16,4,0.25,43,8
evaluation-sp3-ego128-raceline2-v0.8,ol2_e128_o149_s0.8,True,92,92,45,0.4891304347826087,16,16,5,0.3125,5,5
evaluation-sp13-ego556-raceline0-v0.8,ol0_e556_o565_s0.8,True,92,92,40,0.43478260869565216,16,16,6,0.375,34,34
evaluation-sp32-ego1368-raceline1-v0.5,ol1_e1368_o1383_s0.5,True,92,92,40,0.43478260869565216,16,16,8,0.5,0,0
evaluation-sp33-ego1411-raceline1-v0.5,ol1_e1411_o1426_s0.5,False,92,92,39,0.42391304347826086,16,16,7,0.4375,16,1
evaluation-sp17-ego727-raceline0-v0.5,ol0_e727_o739_s0.5,True,92,92,37,0.40217391304347827,16,16,5,0.3125,0,0
evaluation-sp6-ego256-raceline0-v0.8,ol0_e256_o262_s0.8,False,92,92,34,0.3695652173913043,16,16,5,0.3125,34,33
evaluation-sp6-ego256-raceline1-v0.5,ol1_e256_o271_s0.5,False,92,92,34,0.3695652173913043,16,16,4,0.25,24,0
evaluation-sp25-ego1069-raceline2-v0.8,ol2_e1069_o1102_s0.8,False,92,92,33,0.358695652173913,16,16,4,0.25,16,1
evaluation-sp25-ego1069-raceline0-v0.7,ol0_e1069_o1067_s0.7,False,92,92,30,0.32608695652173914,16,16,2,0.125,2,2
evaluation-sp36-ego1539-raceline0-v0.7,ol0_e1539_o1533_s0.7,False,92,92,30,0.32608695652173914,16,16,8,0.5,30,29
evaluation-sp4-ego171-raceline2-v0.8,ol2_e171_o194_s0.8,True,92,92,26,0.2826086956521739,16,16,3,0.1875,26,26
evaluation-sp37-ego1582-raceline2-v0.7,ol2_e1582_o1611_s0.7,True,92,92,25,0.2717391304347826,16,16,4,0.25,25,25
evaluation-sp15-ego641-raceline0-v0.8,ol0_e641_o651_s0.8,False,92,92,24,0.2608695652173913,16,16,5,0.3125,8,0
evaluation-sp45-ego1924-raceline0-v0.7,ol0_e1924_o1919_s0.7,True,92,92,23,0.25,16,16,5,0.3125,23,3
evaluation-sp20-ego855-raceline0-v0.7,ol0_e855_o859_s0.7,False,92,92,23,0.25,16,16,5,0.3125,23,19
evaluation-sp46-ego1967-raceline2-v0.8,ol2_e1967_o2001_s0.8,False,92,92,23,0.25,16,16,2,0.125,23,23
evaluation-sp1-ego42-raceline2-v0.8,ol2_e42_o63_s0.8,True,92,92,20,0.21739130434782608,16,16,2,0.125,7,7
evaluation-sp8-ego342-raceline0-v0.8,ol0_e342_o348_s0.8,False,92,92,20,0.21739130434782608,16,16,7,0.4375,5,5
evaluation-sp17-ego727-raceline1-v0.5,ol1_e727_o742_s0.5,True,92,92,19,0.20652173913043478,16,16,5,0.3125,0,0
evaluation-sp30-ego1283-raceline0-v0.7,ol0_e1283_o1279_s0.7,True,92,92,18,0.1956521739130435,16,16,1,0.0625,18,0
evaluation-sp4-ego171-raceline0-v0.7,ol0_e171_o179_s0.7,False,92,92,17,0.18478260869565216,16,16,3,0.1875,16,15
evaluation-sp6-ego256-raceline1-v0.6,ol1_e256_o271_s0.6,False,92,92,17,0.18478260869565216,16,16,4,0.25,15,0
evaluation-sp25-ego1069-raceline0-v0.8,ol0_e1069_o1067_s0.8,False,92,92,16,0.17391304347826086,16,16,3,0.1875,15,14
evaluation-sp34-ego1454-raceline0-v0.8,ol0_e1454_o1450_s0.8,False,92,92,16,0.17391304347826086,16,16,4,0.25,13,3
evaluation-sp1-ego42-raceline2-v0.7,ol2_e42_o63_s0.7,True,92,92,15,0.16304347826086957,16,16,2,0.125,14,10
evaluation-sp10-ego427-raceline0-v0.6,ol0_e427_o436_s0.6,False,92,92,15,0.16304347826086957,16,16,4,0.25,12,6
evaluation-sp10-ego427-raceline2-v0.7,ol2_e427_o448_s0.7,False,92,92,15,0.16304347826086957,16,16,2,0.125,15,1
evaluation-sp26-ego1112-raceline0-v0.6,ol0_e1112_o1110_s0.6,False,92,92,15,0.16304347826086957,16,16,2,0.125,0,0
evaluation-sp17-ego727-raceline0-v0.6,ol0_e727_o739_s0.6,False,92,92,12,0.13043478260869565,16,16,2,0.125,0,0
evaluation-sp31-ego1326-raceline2-v0.8,ol2_e1326_o1358_s0.8,False,92,92,10,0.10869565217391304,16,16,1,0.0625,10,9
evaluation-sp45-ego1924-raceline2-v0.8,ol2_e1924_o1958_s0.8,False,92,92,10,0.10869565217391304,16,16,3,0.1875,10,10
evaluation-sp35-ego1497-raceline1-v0.7,ol1_e1497_o1512_s0.7,False,92,92,9,0.09782608695652174,16,16,2,0.125,0,0
evaluation-sp7-ego299-raceline2-v0.8,ol2_e299_o320_s0.8,False,92,92,9,0.09782608695652174,16,16,0,0.0,9,9
evaluation-sp14-ego598-raceline0-v0.7,ol0_e598_o607_s0.7,False,92,92,8,0.08695652173913043,16,16,3,0.1875,8,7
evaluation-sp15-ego641-raceline1-v0.5,ol1_e641_o656_s0.5,False,92,92,8,0.08695652173913043,16,16,1,0.0625,0,0
evaluation-sp23-ego983-raceline1-v0.5,ol1_e983_o998_s0.5,False,92,92,8,0.08695652173913043,16,16,1,0.0625,3,0
evaluation-sp24-ego1026-raceline2-v0.8,ol2_e1026_o1053_s0.8,False,92,92,8,0.08695652173913043,16,16,1,0.0625,3,1
evaluation-sp3-ego128-raceline0-v0.8,ol0_e128_o137_s0.8,False,92,92,8,0.08695652173913043,16,16,2,0.125,8,8
evaluation-sp38-ego1625-raceline1-v0.5,ol1_e1625_o1640_s0.5,False,92,92,8,0.08695652173913043,16,16,2,0.125,0,0
evaluation-sp6-ego256-raceline2-v0.7,ol2_e256_o281_s0.7,False,92,92,8,0.08695652173913043,16,16,1,0.0625,6,1
evaluation-sp8-ego342-raceline0-v0.7,ol0_e342_o348_s0.7,False,92,92,8,0.08695652173913043,16,16,2,0.125,8,8
evaluation-sp14-ego598-raceline1-v0.7,ol1_e598_o613_s0.7,False,92,92,7,0.07608695652173914,16,16,2,0.125,0,0
evaluation-sp17-ego727-raceline2-v0.6,ol2_e727_o745_s0.6,False,92,92,7,0.07608695652173914,16,16,1,0.0625,6,0
evaluation-sp23-ego983-raceline0-v0.7,ol0_e983_o987_s0.7,False,92,92,7,0.07608695652173914,16,16,3,0.1875,7,0
evaluation-sp48-ego2053-raceline1-v0.7,ol1_e2053_o2068_s0.7,False,92,92,7,0.07608695652173914,16,16,4,0.25,0,0
evaluation-sp7-ego299-raceline0-v0.8,ol0_e299_o308_s0.8,False,92,92,7,0.07608695652173914,16,16,3,0.1875,7,5
evaluation-sp2-ego85-raceline2-v0.6,ol2_e85_o106_s0.6,False,92,92,6,0.06521739130434782,16,16,2,0.125,6,3
evaluation-sp26-ego1112-raceline0-v0.8,ol0_e1112_o1110_s0.8,False,92,92,6,0.06521739130434782,16,16,2,0.125,6,1
evaluation-sp32-ego1368-raceline2-v0.7,ol2_e1368_o1398_s0.7,False,92,92,6,0.06521739130434782,16,16,3,0.1875,6,4
evaluation-sp10-ego427-raceline1-v0.6,ol1_e427_o442_s0.6,False,92,92,5,0.05434782608695652,16,16,1,0.0625,1,0
evaluation-sp16-ego684-raceline0-v0.7,ol0_e684_o696_s0.7,False,92,92,5,0.05434782608695652,16,16,2,0.125,5,5
evaluation-sp20-ego855-raceline2-v0.6,ol2_e855_o882_s0.6,False,92,92,5,0.05434782608695652,16,16,1,0.0625,5,0
evaluation-sp22-ego941-raceline2-v0.8,ol2_e941_o968_s0.8,False,92,92,5,0.05434782608695652,16,16,1,0.0625,5,4
evaluation-sp39-ego1668-raceline2-v0.8,ol2_e1668_o1702_s0.8,False,92,92,5,0.05434782608695652,16,16,1,0.0625,2,0
evaluation-sp5-ego213-raceline1-v0.5,ol1_e213_o228_s0.5,False,92,92,5,0.05434782608695652,16,16,0,0.0,0,0
evaluation-sp16-ego684-raceline2-v0.8,ol2_e684_o702_s0.8,False,92,92,4,0.043478260869565216,16,16,1,0.0625,4,0
evaluation-sp17-ego727-raceline1-v0.6,ol1_e727_o742_s0.6,False,92,92,4,0.043478260869565216,16,16,0,0.0,1,0
evaluation-sp19-ego812-raceline2-v0.6,ol2_e812_o839_s0.6,False,92,92,4,0.043478260869565216,16,16,1,0.0625,4,0
evaluation-sp2-ego85-raceline1-v0.5,ol1_e85_o100_s0.5,False,92,92,4,0.043478260869565216,16,16,0,0.0,1,1
evaluation-sp21-ego898-raceline2-v0.6,ol2_e898_o925_s0.6,False,92,92,4,0.043478260869565216,16,16,1,0.0625,3,0
evaluation-sp21-ego898-raceline2-v0.8,ol2_e898_o925_s0.8,False,92,92,4,0.043478260869565216,16,16,0,0.0,3,3
evaluation-sp29-ego1240-raceline0-v0.7,ol0_e1240_o1234_s0.7,False,92,92,4,0.043478260869565216,16,16,2,0.125,4,2
evaluation-sp31-ego1326-raceline1-v0.7,ol1_e1326_o1341_s0.7,False,92,92,4,0.043478260869565216,16,16,1,0.0625,3,0
evaluation-sp40-ego1711-raceline2-v0.6,ol2_e1711_o1745_s0.6,False,92,92,4,0.043478260869565216,16,16,1,0.0625,4,0
evaluation-sp41-ego1753-raceline2-v0.8,ol2_e1753_o1787_s0.8,False,92,92,4,0.043478260869565216,16,16,1,0.0625,3,0
evaluation-sp48-ego2053-raceline1-v0.8,ol1_e2053_o2068_s0.8,False,92,92,4,0.043478260869565216,16,16,3,0.1875,0,0
evaluation-sp5-ego213-raceline1-v0.6,ol1_e213_o228_s0.6,False,92,92,4,0.043478260869565216,16,16,1,0.0625,0,0
evaluation-sp5-ego213-raceline2-v0.8,ol2_e213_o236_s0.8,False,92,92,4,0.043478260869565216,16,16,0,0.0,0,0
evaluation-sp8-ego342-raceline1-v0.5,ol1_e342_o357_s0.5,False,92,92,4,0.043478260869565216,16,16,1,0.0625,2,1
evaluation-sp9-ego384-raceline0-v0.6,ol0_e384_o391_s0.6,False,92,92,4,0.043478260869565216,16,16,1,0.0625,4,4
evaluation-sp1-ego42-raceline1-v0.5,ol1_e42_o57_s0.5,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp1-ego42-raceline2-v0.6,ol2_e42_o63_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,0
evaluation-sp10-ego427-raceline1-v0.5,ol1_e427_o442_s0.5,False,92,92,3,0.03260869565217391,16,16,1,0.0625,0,0
evaluation-sp13-ego556-raceline1-v0.6,ol1_e556_o571_s0.6,False,92,92,3,0.03260869565217391,16,16,1,0.0625,1,1
evaluation-sp14-ego598-raceline1-v0.8,ol1_e598_o613_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,0,0
evaluation-sp17-ego727-raceline0-v0.7,ol0_e727_o739_s0.7,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp20-ego855-raceline2-v0.8,ol2_e855_o882_s0.8,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,3
evaluation-sp22-ego941-raceline0-v0.6,ol0_e941_o945_s0.6,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,3
evaluation-sp22-ego941-raceline0-v0.7,ol0_e941_o945_s0.7,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,0
evaluation-sp22-ego941-raceline2-v0.6,ol2_e941_o968_s0.6,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,0
evaluation-sp24-ego1026-raceline0-v0.6,ol0_e1026_o1030_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp24-ego1026-raceline0-v0.7,ol0_e1026_o1030_s0.7,False,92,92,3,0.03260869565217391,16,16,1,0.0625,1,1
evaluation-sp24-ego1026-raceline0-v0.8,ol0_e1026_o1030_s0.8,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp25-ego1069-raceline1-v0.6,ol1_e1069_o1084_s0.6,False,92,92,3,0.03260869565217391,16,16,1,0.0625,2,0
evaluation-sp26-ego1112-raceline2-v0.8,ol2_e1112_o1145_s0.8,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp31-ego1326-raceline0-v0.8,ol0_e1326_o1324_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,0,0
evaluation-sp32-ego1368-raceline2-v0.8,ol2_e1368_o1398_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,2
evaluation-sp36-ego1539-raceline0-v0.8,ol0_e1539_o1533_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,0
evaluation-sp36-ego1539-raceline1-v0.7,ol1_e1539_o1554_s0.7,False,92,92,3,0.03260869565217391,16,16,1,0.0625,2,2
evaluation-sp4-ego171-raceline1-v0.7,ol1_e171_o186_s0.7,False,92,92,3,0.03260869565217391,16,16,0,0.0,0,0
evaluation-sp40-ego1711-raceline2-v0.8,ol2_e1711_o1745_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,2,0
evaluation-sp41-ego1753-raceline2-v0.6,ol2_e1753_o1787_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,0
evaluation-sp42-ego1796-raceline2-v0.6,ol2_e1796_o1830_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,0
evaluation-sp44-ego1882-raceline2-v0.6,ol2_e1882_o1916_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,2,0
evaluation-sp45-ego1924-raceline2-v0.6,ol2_e1924_o1958_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,0
evaluation-sp46-ego1967-raceline0-v0.8,ol0_e1967_o1962_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,3
evaluation-sp46-ego1967-raceline2-v0.6,ol2_e1967_o2001_s0.6,False,92,92,3,0.03260869565217391,16,16,0,0.0,1,0
evaluation-sp47-ego2010-raceline2-v0.8,ol2_e2010_o2044_s0.8,False,92,92,3,0.03260869565217391,16,16,1,0.0625,3,3
evaluation-sp48-ego2053-raceline2-v0.8,ol2_e2053_o2087_s0.8,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,3
evaluation-sp5-ego213-raceline0-v0.8,ol0_e213_o221_s0.8,False,92,92,3,0.03260869565217391,16,16,0,0.0,3,3
evaluation-sp11-ego470-raceline0-v0.6,ol0_e470_o480_s0.6,False,92,92,2,0.021739130434782608,16,16,1,0.0625,2,0
evaluation-sp14-ego598-raceline1-v0.5,ol1_e598_o613_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp15-ego641-raceline1-v0.6,ol1_e641_o656_s0.6,False,92,92,2,0.021739130434782608,16,16,1,0.0625,0,0
evaluation-sp17-ego727-raceline1-v0.7,ol1_e727_o742_s0.7,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp17-ego727-raceline1-v0.8,ol1_e727_o742_s0.8,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp20-ego855-raceline1-v0.8,ol1_e855_o870_s0.8,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp21-ego898-raceline1-v0.5,ol1_e898_o913_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp22-ego941-raceline1-v0.5,ol1_e941_o956_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp28-ego1197-raceline0-v0.8,ol0_e1197_o1191_s0.8,False,92,92,2,0.021739130434782608,16,16,0,0.0,1,0
evaluation-sp34-ego1454-raceline2-v0.7,ol2_e1454_o1487_s0.7,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp39-ego1668-raceline2-v0.7,ol2_e1668_o1702_s0.7,False,92,92,2,0.021739130434782608,16,16,0,0.0,2,0
evaluation-sp4-ego171-raceline0-v0.5,ol0_e171_o179_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,2,2
evaluation-sp40-ego1711-raceline2-v0.7,ol2_e1711_o1745_s0.7,False,92,92,2,0.021739130434782608,16,16,0,0.0,2,0
evaluation-sp42-ego1796-raceline2-v0.8,ol2_e1796_o1830_s0.8,False,92,92,2,0.021739130434782608,16,16,0,0.0,1,0
evaluation-sp43-ego1839-raceline2-v0.6,ol2_e1839_o1873_s0.6,False,92,92,2,0.021739130434782608,16,16,0,0.0,2,0
evaluation-sp45-ego1924-raceline2-v0.5,ol2_e1924_o1958_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,0,0
evaluation-sp46-ego1967-raceline1-v0.8,ol1_e1967_o1982_s0.8,False,92,92,2,0.021739130434782608,16,16,2,0.125,0,0
evaluation-sp46-ego1967-raceline2-v0.5,ol2_e1967_o2001_s0.5,False,92,92,2,0.021739130434782608,16,16,0,0.0,2,0
evaluation-sp47-ego2010-raceline1-v0.7,ol1_e2010_o2025_s0.7,False,92,92,2,0.021739130434782608,16,16,1,0.0625,0,0
